CLI,Agence Client,Type Client,Gestionnaire Client,Avec / Sans Compte,Segment Client,Segment Actif/Équipé,Actif/Inactif,Equipé/NonEquipé,District,Date d'EER,Statut Dossier,CLT/NONCLT,DATE SORTIE
43714467,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,02/01/2024,DRC Archivé,CLT,
43714541,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,02/02/2024,DRC Archivé,CLT,
43714616,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,02/02/2024,DRC Archivé,CLT,
43714690,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,02/06/2024,DRC à numériser,NON CLT,
43714764,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,02/08/2024,DRC Archivé,CLT,
43714839,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,24/01/2024,DRC Archivé,CLT,
43714913,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES HAUTE GAMME,H.GAMME ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,25/01/2024,DRC Archivé,CLT,
43714987,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,01/09/2024,DRC Archivé,CLT,
43715062,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,07/11/2023,DRC à numériser,NON CLT,
43715136,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,08/03/2023,DRC Archivé,CLT,
43715210,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,07/11/2023,DRC à numériser,NON CLT,
43715285,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,06/06/2023,DRC Archivé,CLT,
43715359,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,06/08/2023,DRC Archivé,CLT,
43715433,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,30/05/2023,DRC Archivé,CLT,
43715508,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,05/10/2023,DRC Archivé,NON CLT,09/12/2023
43715582,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,05/11/2023,DRC Archivé,CLT,
43715656,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,15/05/2023,DRC Archivé,CLT,
43715731,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF NON EQUIPE,ACTIF,NON EQUIPE,SIEGE,02/02/2023,DRC Archivé,CLT,
43715805,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES CLASSE MOYENNE,C.MOYENNE ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,02/06/2023,DRC Archivé,CLT,
43715879,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF NON EQUIPE,ACTIF,NON EQUIPE,SIEGE,02/06/2023,DRC Archivé,CLT,
43715954,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,02/06/2023,DRC à numériser,CLT,
43716028,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF NON EQUIPE,ACTIF,NON EQUIPE,SIEGE,13/02/2023,DRC Archivé,CLT,
43716102,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,24/01/2023,DRC en cours de Validation,CLT,
43716177,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES CLASSE MOYENNE,C.MOYENNE ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,31/01/2023,DRC Archivé,CLT,
43716251,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,01/04/2023,DRC Archivé,NON CLT,13/11/2024
43716325,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,01/05/2023,DRC Archivé,NON CLT,27/03/2025
43716400,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,01/06/2023,DRC Archivé,CLT,
43716474,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,01/10/2023,DRC Archivé,CLT,
43716548,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF NON EQUIPE,ACTIF,NON EQUIPE,SIEGE,16/01/2023,DRC Archivé,CLT,
43716623,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,29/05/2024,DRC Archivé,CLT,
43716697,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,27/05/2024,DRC Archivé,CLT,
43716771,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,11/04/2024,DRC en cours de Validation,CLT,
43716846,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,13/11/2024,DRC Archivé,CLT,
43716920,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,13/03/2024,DRC Archivé,CLT,
43716994,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,11/08/2024,DRC en cours de Validation,CLT,
43717069,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,JEUNES ADULTES,JEUNES AD INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,11/08/2024,DRC Archivé,NON CLT,24/02/2025
43717143,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/06/2024,DRC Archivé,CLT,
43717217,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,15/01/2025,DRC à numériser,CLT,
43717292,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,15/01/2025,DRC Archivé,CLT,
43717366,00404-PALMARIUM,Particulier,040-DA  Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,30/05/2024,DRC en cours de Validation,NON CLT,30/05/2024
43717440,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,28/01/2025,DRC à numériser,CLT,
43717515,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,02/07/2025,DRC à numériser,CLT,
43717589,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,02/10/2025,DRC en cours de Validation,CLT,
43717663,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,02/10/2025,DRC en cours de Validation,CLT,
43717738,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,13/02/2025,DRC en cours de Validation,CLT,
43717812,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,31/01/2025,DRC en cours de Validation,CLT,
43717886,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,31/01/2025,DRC en cours de Validation,CLT,
43717961,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,23/04/2024,DRC à numériser,CLT,
43718035,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,23/04/2024,DRC Archivé,CLT,
43718109,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,23/04/2024,DRC Archivé,CLT,
43718184,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,24/04/2024,DRC Archivé,CLT,
43718258,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,23/08/2024,DRC Archivé,CLT,
43718332,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,08/07/2024,DRC Archivé,CLT,
43718407,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,08/07/2024,DRC Archivé,CLT,
43718481,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,14/08/2024,DRC Archivé,CLT,
43718555,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,14/08/2024,DRC Archivé,CLT,
43718630,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,19/07/2024,DRC en cours de Validation,CLT,
43718704,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,22/07/2024,DRC Archivé,CLT,
43718853,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,23/07/2024,DRC Archivé,CLT,
43718927,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,23/07/2024,DRC Archivé,CLT,
43719001,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,16/07/2024,DRC Archivé,CLT,
43719076,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES HAUTE GAMME,H.GAMME INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,07/02/2024,DRC Archivé,CLT,
43719150,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,06/11/2024,DRC Archivé,CLT,
43719224,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,06/12/2024,DRC Archivé,CLT,
43719299,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,06/12/2024,DRC Archivé,CLT,
43719373,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,06/03/2024,DRC Archivé,CLT,
43719447,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,06/05/2024,DRC Archivé,CLT,
43719522,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,08/07/2024,DRC Archivé,CLT,
43719596,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,16/09/2024,DRC Archivé,CLT,
43719670,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,16/09/2024,DRC Archivé,CLT,
43719745,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,18/09/2024,DRC Archivé,CLT,
43719819,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,18/09/2024,DRC Archivé,CLT,
43719893,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,18/09/2024,DRC Archivé,CLT,
43719968,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,18/09/2024,DRC Archivé,CLT,
43720042,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/09/2024,DRC Archivé,CLT,
43720116,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/09/2024,DRC Archivé,CLT,
43720191,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/09/2024,DRC Archivé,CLT,
43720265,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/09/2024,DRC Archivé,CLT,
43720339,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/10/2024,DRC Archivé,CLT,
43720414,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/10/2024,DRC Archivé,CLT,
43720488,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/11/2024,DRC Archivé,CLT,
43720562,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,09/02/2024,DRC Archivé,CLT,
43720637,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/02/2024,DRC Archivé,CLT,
43720711,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,09/03/2024,DRC en cours de Validation,CLT,
43720785,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,09/03/2024,DRC Archivé,NON CLT,22/10/2024
43720860,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,09/05/2024,DRC en cours de Validation,CLT,
43720934,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,27/08/2024,DRC Archivé,CLT,
43721008,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,27/08/2024,DRC Archivé,CLT,
43721083,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,27/08/2024,DRC en cours de Validation,CLT,
43721157,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,29/08/2024,DRC Archivé,CLT,
43721231,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,16/08/2024,DRC en cours de Validation,NON CLT,29/08/2024
43721306,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,20/08/2024,DRC Archivé,CLT,
43721380,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,23/08/2024,DRC Archivé,CLT,
43721454,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,02/03/2025,DRC en cours de Validation,CLT,
43721529,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,02/03/2025,DRC en cours de Validation,CLT,
43721603,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,22/01/2025,DRC en cours de Validation,CLT,
43721677,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,01/07/2025,DRC Archivé,CLT,
43721752,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,12/10/2024,DRC Archivé,CLT,
43721826,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,24/09/2024,DRC à numériser,CLT,
43721900,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,21/11/2024,DRC à numériser,CLT,
43721975,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,29/05/2023,DRC Archivé,CLT,
43722049,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,10/03/2024,DRC en cours de Validation,CLT,
43722123,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,10/04/2024,DRC Archivé,CLT,
43722198,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF EQUIPE,INACTIF,EQUIPE,SIEGE,03/02/2023,DRC Archivé,CLT,
43722272,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,24/09/2024,DRC à numériser,CLT,
43722346,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,19/02/2025,DRC Archivé,CLT,
43722421,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,27/02/2025,DRC en cours de Validation,CLT,
43722495,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,17/02/2025,DRC Archivé,CLT,
43722569,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,17/02/2025,DRC Archivé,CLT,
43722644,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JUNIOR,JUNIOR,NON AFFECTE,NON AFFECTE,SIEGE,19/02/2025,DRC à numériser,CLT,
43722718,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JEUNES ADULTES,JEUNES AD INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,19/02/2025,DRC à numériser,CLT,
43722792,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES CLASSE MOYENNE,C.MOYENNE ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,26/05/2023,DRC Archivé,CLT,
43722867,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,JEUNES ADULTES,JEUNES AD ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,29/05/2023,DRC Archivé,CLT,
43722941,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,01/03/2024,DRC Archivé,CLT,
43723015,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,19/12/2023,DRC Archivé,CLT,
43723090,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES HAUTE GAMME,H.GAMME ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,20/12/2023,DRC à numériser,CLT,
43723164,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,22/11/2023,DRC à numériser,CLT,
43723238,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,22/11/2023,DRC Archivé,CLT,
43723313,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES HAUTE GAMME,H.GAMME ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,23/11/2023,DRC Archivé,CLT,
43723387,00404-PALMARIUM,Particulier,042-Chargé Clientèle 2 Palmarium,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,30/11/2023,DRC Archivé,NON CLT,04/04/2025
